Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Fully Paid,541310.0,Short Term,722.0,1682982.0,1 year,Home Mortgage,Debt Consolidation,52733.36,17.9,13.0,0.0,356288.0,619432.0,0.0,0.0
Fully Paid,311872.0,Long Term,680.0,1063810.0,6 years,Home Mortgage,Debt Consolidation,28191.06,12.2,10.0,0.0,391723.0,591338.0,0.0,0.0
Fully Paid,340604.0,Long Term,618.0,928701.0,10+ years,Home Mortgage,Debt Consolidation,21205.52,14.4,5.0,0.0,291137.0,368808.0,0.0,0.0
Charged Off,765160.0,Long Term,719.0,2643242.0,7 years,Home Mortgage,Debt Consolidation,34582.47,20.5,19.0,0.0,249755.0,489302.0,0.0,0.0
Charged Off,109802.0,Short Term,745.0,474069.0,< 1 year,Rent,Debt Consolidation,1497.39,11.0,2.0,0.0,91048.0,186604.0,0.0,0.0
Charged Off,349756.0,Long Term,737.0,2491945.0,3 years,Rent,Debt Consolidation,23258.28,21.5,7.0,0.0,270332.0,660396.0,0.0,0.0
Fully Paid,545886.0,Short Term,718.0,1565182.0,7 years,Rent,Debt Consolidation,41477.0,15.0,16.0,0.0,80465.0,296714.0,0.0,0.0
Fully Paid,99999999.0,Short Term,750.0,2435667.0,7 years,Rent,Debt Consolidation,31257.66,12.3,10.0,0.0,72276.0,1073028.0,0.0,0.0
Fully Paid,354046.0,Long Term,676.0,1815469.0,10+ years,Home Mortgage,Home Improvements,5522.16,13.0,6.0,0.0,20976.0,70840.0,0.0,0.0
Fully Paid,472098.0,Long Term,692.0,2316575.0,10+ years,Rent,Debt Consolidation,24517.22,28.2,9.0,0.0,454176.0,968506.0,0.0,0.0
Charged Off,86174.0,Short Term,7210.0,837311.0,1 year,Home Mortgage,Debt Consolidation,10884.91,13.6,15.0,0.0,360867.0,671770.0,0.0,0.0
Charged Off,509586.0,Long Term,678.0,1816001.0,2 years,Rent,Debt Consolidation,26180.67,13.9,32.0,1.0,115672.0,319638.0,1.0,0.0
Fully Paid,99999999.0,Short Term,709.0,1806083.0,10+ years,Home Mortgage,Debt Consolidation,29348.92,16.1,22.0,0.0,492556.0,724680.0,0.0,0.0
Fully Paid,218988.0,Short Term,740.0,775409.0,4 years,Home Mortgage,Debt Consolidation,8141.88,14.9,5.0,0.0,100206.0,186230.0,0.0,0.0
Fully Paid,328262.0,Short Term,746.0,1133958.0,1 year,Rent,Debt Consolidation,20411.32,10.2,10.0,0.0,229463.0,472758.0,0.0,0.0
Charged Off,663168.0,Long Term,732.0,1527296.0,2 years,Home Mortgage,Debt Consolidation,22145.83,17.0,8.0,0.0,331075.0,543774.0,0.0,0.0
Fully Paid,133078.0,Short Term,709.0,804460.0,< 1 year,Rent,Debt Consolidation,9117.34,12.5,10.0,0.0,111568.0,243760.0,0.0,0.0
Fully Paid,99999999.0,Short Term,742.0,1359792.0,< 1 year,Rent,Debt Consolidation,17224.07,10.7,8.0,0.0,57000.0,150678.0,0.0,0.0
Fully Paid,752290.0,Long Term,649.0,2320375.0,3 years,Rent,Debt Consolidation,39252.86,13.4,13.0,0.0,431053.0,513502.0,0.0,0.0
Fully Paid,99999999.0,Short Term,734.0,622991.0,6 years,Own Home,Debt Consolidation,8046.88,10.7,15.0,0.0,69179.0,238370.0,0.0,0.0
Fully Paid,262724.0,Long Term,695.0,1229072.0,4 years,Rent,Debt Consolidation,21508.76,21.8,5.0,0.0,337725.0,394218.0,0.0,0.0
Fully Paid,54076.0,Short Term,744.0,485697.0,1 year,Rent,Debt Consolidation,2655.06,9.0,6.0,0.0,19988.0,282260.0,0.0,0.0
Charged Off,552882.0,Long Term,686.0,1262151.0,10+ years,Rent,Debt Consolidation,23770.71,23.4,13.0,0.0,299706.0,694056.0,0.0,0.0
Charged Off,402534.0,Short Term,741.0,3090160.0,9 years,Rent,Debt Consolidation,23639.8,19.6,15.0,0.0,691467.0,1332188.0,0.0,0.0
Charged Off,232716.0,Short Term,637.0,1049427.0,5 years,Rent,Home Improvements,12942.99,9.5,20.0,0.0,226442.0,389026.0,0.0,0.0
Fully Paid,286462.0,Long Term,719.0,1380426.0,10+ years,Home Mortgage,Debt Consolidation,27378.62,15.7,10.0,0.0,177916.0,335522.0,0.0,0.0
Fully Paid,223256.0,Short Term,740.0,804916.0,7 years,Home Mortgage,Debt Consolidation,6774.64,34.4,13.0,0.0,308142.0,587818.0,0.0,0.0
Fully Paid,348832.0,Long Term,704.0,497306.0,< 1 year,Rent,Debt Consolidation,3257.36,13.0,4.0,0.0,90022.0,167860.0,0.0,0.0
Fully Paid,537878.0,Short Term,743.0,1296807.0,1 year,Home Mortgage,Debt Consolidation,24963.53,18.4,12.0,0.0,249223.0,515306.0,0.0,0.0
Fully Paid,196460.0,Short Term,746.0,942590.0,2 years,Home Mortgage,Debt Consolidation,15160.1,23.5,8.0,0.0,138700.0,410718.0,0.0,0.0
Fully Paid,214786.0,Short Term,723.0,883329.0,9 years,Home Mortgage,Debt Consolidation,11924.97,14.3,5.0,0.0,154755.0,193314.0,0.0,0.0
Fully Paid,109538.0,Short Term,697.0,567606.0,7 years,Home Mortgage,Debt Consolidation,5770.68,14.3,10.0,0.0,86716.0,151206.0,0.0,0.0
Fully Paid,117986.0,Short Term,694.0,1886890.0,5 years,Rent,Debt Consolidation,3207.77,12.0,7.0,0.0,80408.0,351296.0,0.0,0.0
Fully Paid,133804.0,Short Term,725.0,1386734.0,4 years,Home Mortgage,Business Loan,16756.48,13.6,11.0,0.0,105450.0,260898.0,0.0,0.0
Fully Paid,87846.0,Short Term,736.0,625879.0,4 years,Own Home,Debt Consolidation,6988.96,50.1,16.0,0.0,96330.0,714978.0,0.0,0.0
Charged Off,332684.0,Long Term,722.0,881087.0,10+ years,Home Mortgage,Debt Consolidation,12702.26,14.5,9.0,0.0,472226.0,640266.0,0.0,0.0
Fully Paid,190498.0,Short Term,706.0,892164.0,1 year,Rent,Debt Consolidation,8996.12,13.2,6.0,0.0,88160.0,117744.0,0.0,0.0
Fully Paid,448822.0,Short Term,741.0,1027444.0,1 year,Home Mortgage,Debt Consolidation,21576.4,33.1,8.0,0.0,669028.0,981838.0,0.0,0.0
Fully Paid,229086.0,Short Term,715.0,787626.0,8 years,Rent,Debt Consolidation,6543.79,23.9,7.0,1.0,71231.0,152460.0,1.0,0.0
Charged Off,393558.0,Long Term,678.0,2317392.0,2 years,Own Home,Debt Consolidation,22015.3,14.7,8.0,0.0,124184.0,145552.0,0.0,0.0
Fully Paid,151954.0,Short Term,707.0,562419.0,7 years,Rent,Debt Consolidation,14341.77,12.5,9.0,1.0,107692.0,219142.0,0.0,1.0
Fully Paid,99999999.0,Short Term,726.0,1153851.0,< 1 year,Rent,Debt Consolidation,7125.0,13.5,7.0,0.0,165984.0,286440.0,0.0,0.0
Fully Paid,254562.0,Short Term,738.0,669123.0,6 years,Rent,Debt Consolidation,13549.66,17.5,13.0,0.0,261383.0,743600.0,0.0,0.0
Charged Off,87912.0,Short Term,7500.0,960184.0,10+ years,Rent,Debt Consolidation,3432.73,43.3,9.0,0.0,86051.0,301026.0,0.0,0.0
Charged Off,156178.0,Short Term,716.0,1124040.0,3 years,Rent,Other,8617.64,12.0,9.0,5.0,6194.0,108790.0,0.0,0.0
Fully Paid,645018.0,Long Term,737.0,2692471.0,10+ years,Home Mortgage,Debt Consolidation,40386.97,24.0,21.0,0.0,640376.0,1468302.0,0.0,0.0
Fully Paid,605726.0,Short Term,748.0,3609145.0,10+ years,Home Mortgage,Debt Consolidation,43610.7,23.0,10.0,0.0,378423.0,475772.0,0.0,0.0
Fully Paid,99999999.0,Short Term,741.0,1288523.0,2 years,Home Mortgage,Debt Consolidation,9041.34,16.2,4.0,0.0,95855.0,116468.0,0.0,0.0
Charged Off,168300.0,Long Term,7020.0,688522.0,2 years,Rent,other,11762.14,17.0,9.0,0.0,128041.0,273042.0,0.0,0.0
Fully Paid,174460.0,Short Term,723.0,1318429.0,3 years,Own Home,Other,10547.47,15.0,14.0,0.0,55176.0,443586.0,0.0,0.0
Fully Paid,768394.0,Long Term,651.0,1651252.0,2 years,Home Mortgage,Debt Consolidation,19264.67,29.2,6.0,0.0,421420.0,559592.0,0.0,0.0
Fully Paid,314226.0,Long Term,723.0,2638454.0,1 year,Home Mortgage,other,34959.43,18.2,10.0,0.0,662815.0,969034.0,0.0,0.0
Fully Paid,263648.0,Short Term,736.0,1138518.0,9 years,Rent,Debt Consolidation,12808.28,15.0,6.0,1.0,61788.0,202092.0,1.0,0.0
Fully Paid,99999999.0,Short Term,725.0,1048363.0,10+ years,Rent,Debt Consolidation,14152.91,21.0,11.0,1.0,210045.0,299156.0,1.0,0.0
Fully Paid,716958.0,Short Term,718.0,1934960.0,9 years,Home Mortgage,Home Improvements,31765.72,10.0,9.0,0.0,168815.0,228624.0,0.0,0.0
Charged Off,459602.0,Long Term,712.0,982870.0,6 years,Home Mortgage,Debt Consolidation,12859.01,15.6,6.0,0.0,390621.0,468204.0,0.0,0.0
Fully Paid,405856.0,Long Term,708.0,1155751.0,10+ years,Rent,Debt Consolidation,32264.85,22.7,13.0,0.0,338181.0,594198.0,0.0,0.0
Charged Off,547580.0,Short Term,710.0,1125978.0,< 1 year,Rent,Debt Consolidation,9758.4,13.8,6.0,0.0,435328.0,790064.0,0.0,0.0
Fully Paid,175428.0,Short Term,698.0,1136238.0,2 years,Rent,Buy a Car,2594.45,30.5,4.0,0.0,70832.0,96470.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,756352.0,10+ years,Home Mortgage,Home Improvements,11849.54,18.4,9.0,1.0,46341.0,496870.0,1.0,0.0
Fully Paid,234806.0,Long Term,689.0,866799.0,9 years,Home Mortgage,Debt Consolidation,3676.69,14.1,4.0,2.0,86051.0,167750.0,2.0,0.0
Charged Off,25806.0,Short Term,685.0,742976.0,8 years,Rent,other,6377.16,7.1,5.0,0.0,8189.0,47432.0,0.0,0.0
Fully Paid,333124.0,Short Term,703.0,1300246.0,10+ years,Home Mortgage,Debt Consolidation,13110.76,14.6,10.0,0.0,173128.0,384032.0,0.0,0.0
Fully Paid,441276.0,Short Term,747.0,2305669.0,10+ years,Home Mortgage,Debt Consolidation,24017.52,17.8,14.0,0.0,678851.0,2245848.0,0.0,0.0
Fully Paid,327756.0,Short Term,707.0,830319.0,5 years,Rent,Debt Consolidation,9271.81,15.8,6.0,0.0,245727.0,292732.0,0.0,0.0
Fully Paid,99999999.0,Short Term,736.0,1111367.0,1 year,Rent,Other,16577.88,13.5,8.0,0.0,378746.0,594242.0,0.0,0.0
Fully Paid,476586.0,Short Term,707.0,1403207.0,7 years,Rent,Debt Consolidation,18241.52,13.4,6.0,0.0,91580.0,214654.0,0.0,0.0
Fully Paid,261800.0,Short Term,738.0,1488536.0,4 years,Rent,Debt Consolidation,21087.72,16.5,8.0,0.0,178220.0,274780.0,0.0,0.0
Charged Off,433136.0,Long Term,682.0,1178323.0,9 years,Home Mortgage,Debt Consolidation,17969.44,17.6,16.0,0.0,355471.0,426514.0,0.0,0.0
Charged Off,322124.0,Long Term,716.0,1020034.0,9 years,Home Mortgage,Debt Consolidation,16915.32,17.8,10.0,0.0,205865.0,341506.0,0.0,0.0
Fully Paid,437668.0,Short Term,749.0,2683693.0,5 years,Home Mortgage,Debt Consolidation,5993.55,21.5,7.0,0.0,326496.0,562584.0,0.0,0.0
Fully Paid,377322.0,Short Term,740.0,1288162.0,< 1 year,Rent,Debt Consolidation,17068.08,36.3,8.0,0.0,358549.0,494824.0,0.0,0.0
Fully Paid,606122.0,Long Term,693.0,1395911.0,10+ years,Home Mortgage,Debt Consolidation,24079.46,22.5,8.0,1.0,168378.0,332156.0,1.0,0.0
Fully Paid,520982.0,Long Term,724.0,1031111.0,10+ years,Rent,Debt Consolidation,17013.17,15.0,12.0,0.0,267976.0,475178.0,0.0,0.0
Charged Off,304590.0,Short Term,746.0,1202510.0,1 year,Rent,Debt Consolidation,28960.18,19.7,9.0,0.0,314830.0,619982.0,0.0,0.0
Charged Off,472362.0,Short Term,732.0,1075058.0,5 years,Home Mortgage,Debt Consolidation,22218.03,16.1,13.0,0.0,392369.0,542146.0,0.0,0.0
Charged Off,322872.0,Long Term,7080.0,985245.0,10+ years,Home Mortgage,Home Improvements,10895.17,17.5,7.0,0.0,106894.0,357698.0,0.0,0.0
Fully Paid,149402.0,Short Term,727.0,841491.0,1 year,Rent,Debt Consolidation,18723.17,8.6,14.0,0.0,163571.0,539572.0,0.0,0.0
Fully Paid,150458.0,Short Term,737.0,1330513.0,5 years,Home Mortgage,Debt Consolidation,4446.19,13.9,13.0,0.0,129827.0,316492.0,0.0,0.0
Fully Paid,341352.0,Long Term,712.0,751108.0,< 1 year,Home Mortgage,Debt Consolidation,10327.83,13.3,11.0,0.0,81377.0,110858.0,0.0,0.0
Charged Off,432256.0,Short Term,737.0,2053216.0,10+ years,Home Mortgage,Debt Consolidation,16305.8,17.4,11.0,0.0,316331.0,638088.0,0.0,0.0
Fully Paid,301114.0,Long Term,645.0,825246.0,< 1 year,Rent,Debt Consolidation,5948.71,9.0,10.0,1.0,59888.0,372746.0,1.0,0.0
Fully Paid,79398.0,Short Term,718.0,761824.0,2 years,Rent,Debt Consolidation,13459.03,15.5,13.0,0.0,159315.0,317526.0,0.0,0.0
Fully Paid,171842.0,Short Term,724.0,612199.0,2 years,Rent,Debt Consolidation,6734.17,11.8,12.0,0.0,330714.0,558228.0,0.0,0.0
Fully Paid,329120.0,Long Term,715.0,1515896.0,5 years,Home Mortgage,Debt Consolidation,21601.48,13.0,19.0,0.0,332576.0,683980.0,0.0,0.0
Fully Paid,486288.0,Long Term,707.0,1654577.0,3 years,Home Mortgage,Debt Consolidation,22612.47,14.9,18.0,0.0,407835.0,821282.0,0.0,0.0
Fully Paid,104368.0,Short Term,691.0,853974.0,1 year,Rent,Debt Consolidation,22559.08,20.0,10.0,1.0,116223.0,195580.0,1.0,0.0
Fully Paid,205854.0,Short Term,717.0,1898860.0,10+ years,Home Mortgage,Debt Consolidation,31647.73,22.3,6.0,0.0,195738.0,251284.0,0.0,0.0
Fully Paid,111408.0,Short Term,733.0,1154592.0,10+ years,Rent,Debt Consolidation,18762.12,20.4,9.0,0.0,283936.0,465674.0,0.0,0.0
Fully Paid,284152.0,Short Term,700.0,1054519.0,10+ years,Home Mortgage,Debt Consolidation,15202.66,14.0,12.0,0.0,182780.0,366146.0,0.0,0.0
